REG,DATE,FROM,TO,FLIGHT,DURATION,SDT,ADT,ETA,STATUS
PS-CNB,03 Feb 2022,—,Tangara Da Serra (TGQ),AD5593,1:12,17:19,17:19,14:31,Landed 14:31
PS-CNB,03 Feb 2022,Cuiaba (CGB),Juína (JIA),AD5592,3:09,7:45,8:25,10:00,Landed 11:34
PS-CNB,02 Feb 2022,Cuiaba (CGB),Barra do Garcas (BPG),AD5340,—,17:20,—,20:05,Canceled
PS-CNB,02 Feb 2022,Agua Boa (GGB),Cuiaba (CGB),AD5341,1:44,16:32,16:32,18:16,Landed 18:16
PS-CNB,02 Feb 2022,—,Agua Boa (GGB),AD5341,2:02,16:39,16:39,14:40,Landed 14:40
PS-CNB,02 Feb 2022,Agua Boa (GGB),—,AD5341,1:15,10:33,10:33,15:48,Landed 15:48
PS-CNT,11 Feb 2022,Bage (BGX),Porto Alegre (POA),AD5438,—,5:00,—,6:25,Scheduled
PS-CNT,10 Feb 2022,Porto Alegre (POA),Bage (BGX),AD5437,—,22:25,—,23:55,Scheduled
PS-CNT,10 Feb 2022,Santa Rosa (SRA),Porto Alegre (POA),AD5435,—,20:00,—,21:40,Scheduled
PS-CNT,10 Feb 2022,Porto Alegre (POA),Santa Rosa (SRA),AD5434,—,17:45,—,19:35,Scheduled
PS-CNT,10 Feb 2022,Bage (BGX),Porto Alegre (POA),AD5438,—,5:00,—,6:25,Scheduled
PS-CNT,09 Feb 2022,Porto Alegre (POA),Bage (BGX),AD5436,—,21:35,—,23:05,Scheduled
PS-CNT,09 Feb 2022,Erechim (ERM),Porto Alegre (POA),AD5427,—,19:35,—,20:50,Scheduled
PS-CNT,09 Feb 2022,Porto Alegre (POA),Erechim (ERM),AD5426,—,17:45,—,19:10,Scheduled
PS-CNT,09 Feb 2022,Pleasanton (JBS),Porto Alegre (POA),AD5421,1:42,4:45,4:43,11:50,Landed 11:25
PS-CNT,09 Feb 2022,Porto Alegre (POA),Pleasanton (JBS),AD5420,1:45,7:10,7:18,4:20,Landed 04:02
PS-CNT,09 Feb 2022,Porto Alegre (POA),Porto Alegre (POA),AD5437,1:11,5:07,5:07,6:18,Landed 06:18
PS-CNT,09 Feb 2022,Bage (BGX),Porto Alegre (POA),AD5438,—,5:00,5:02,6:25,Estimated departure 05:02
PS-CNT,08 Feb 2022,Porto Alegre (POA),Bage (BGX),AD5437,1:12,22:25,22:27,23:55,Landed 23:39
PS-CNT,08 Feb 2022,Santa Rosa (SRA),Porto Alegre (POA),AD5435,1:21,20:00,19:58,21:40,Landed 21:20
PS-CNT,08 Feb 2022,Porto Alegre (POA),Santa Rosa (SRA),AD5434,1:29,17:45,17:44,19:35,Landed 19:12
PS-CNT,08 Feb 2022,Vacaria (VCC),Porto Alegre (POA),AD5433,0:44,16:05,15:56,17:00,Landed 16:40
PS-CNT,08 Feb 2022,Porto Alegre (POA),Vacaria (VCC),AD5432,0:42,14:40,14:47,15:40,Landed 15:28
PS-CNT,08 Feb 2022,—,Porto Alegre (POA),AD5431,0:24,16:23,16:23,13:47,Landed 13:47
PS-CNT,08 Feb 2022,Porto Alegre (POA),Canela (QCN),AD5430,0:25,12:20,12:27,12:40,Landed 12:52
PS-CNT,08 Feb 2022,Alegrete (ALQ),Porto Alegre (POA),AD5429,1:44,9:35,9:31,11:25,Landed 11:15
PS-CNT,08 Feb 2022,Porto Alegre (POA),Alegrete (ALQ),AD5428,1:37,7:10,7:24,9:10,Landed 09:01
PS-CNT,08 Feb 2022,Bage (BGX),Porto Alegre (POA),AD5438,1:11,5:00,5:11,6:25,Landed 06:21
PS-CNT,07 Feb 2022,Porto Alegre (POA),Bage (BGX),AD5436,1:17,21:35,21:42,23:05,Landed 22:59
PS-CNT,07 Feb 2022,Erechim (ERM),Porto Alegre (POA),AD5427,1:11,19:35,19:34,20:50,Landed 20:46
PS-CNT,07 Feb 2022,Porto Alegre (POA),—,AD5425,1:05,17:50,17:50,21:55,Landed 21:55
PS-CNT,07 Feb 2022,Porto Alegre (POA),Erechim (ERM),AD5426,—,17:45,17:50,19:10,Estimated departure 17:50
PS-CNT,07 Feb 2022,Porto Alegre (POA),Santa Cruz Do Sul (CSU),AD5424,0:41,16:23,16:23,17:04,Landed 17:04
PS-CNT,07 Feb 2022,Santa Cruz Do Sul (CSU),Porto Alegre (POA),AD5425,—,16:15,16:24,17:00,Estimated departure 16:24
PS-CNT,07 Feb 2022,Porto Alegre (POA),Santa Cruz Do Sul (CSU),AD5424,0:35,15:05,15:27,15:50,Landed 16:02
PS-CNT,07 Feb 2022,Porto Alegre (POA),Porto Alegre (POA),AD5423,1:19,12:45,12:45,14:04,Landed 14:04
PS-CNT,07 Feb 2022,Porto Alegre (POA),Canela (QCN),AD5422,—,12:35,12:45,13:09,Estimated departure 12:45
PS-CNT,07 Feb 2022,Pleasanton (JBS),Porto Alegre (POA),AD5421,1:52,4:45,4:48,11:50,Landed 11:39
PS-CNT,07 Feb 2022,Porto Alegre (POA),Pleasanton (JBS),AD5420,1:54,7:10,7:19,4:20,Landed 04:13
PS-CNT,07 Feb 2022,Bage (BGX),Porto Alegre (POA),AD5438,1:14,5:00,5:10,6:25,Landed 06:23
PS-CNT,06 Feb 2022,Porto Alegre (POA),Bage (BGX),AD5437,1:21,22:25,22:51,23:55,Landed 00:12
PS-CNT,06 Feb 2022,Porto Alegre (POA),Porto Alegre (POA),AD5435,1:32,20:18,20:18,21:50,Landed 21:50
PS-CNT,06 Feb 2022,Santa Rosa (SRA),Porto Alegre (POA),AD5435,—,20:00,20:17,21:40,Estimated departure 20:17
PS-CNT,06 Feb 2022,Porto Alegre (POA),Santa Rosa (SRA),AD5434,—,17:45,16:46,19:35,Unknown
PS-CNT,06 Feb 2022,Vacaria (VCC),Porto Alegre (POA),AD5433,—,16:05,16:46,17:00,Unknown
PS-CNT,06 Feb 2022,Porto Alegre (POA),Vacaria (VCC),AD5432,0:41,14:40,15:36,15:40,Landed 16:16
PS-CNT,05 Feb 2022,Curitiba (CWB),Porto Alegre (POA),AD5951,2:08,18:57,18:57,21:05,Landed 21:05
PS-CNT,05 Feb 2022,Umuarama (UMU),Curitiba (CWB),AD5483,1:34,10:50,10:44,12:40,Landed 12:18
PS-CNT,05 Feb 2022,Curitiba (CWB),Umuarama (UMU),AD5482,1:49,8:30,8:34,10:25,Landed 10:24
PS-CNT,04 Feb 2022,Francisco Beltrao (FBE),Curitiba (CWB),AD5488,1:18,17:00,16:52,18:35,Landed 18:10
